_time,_measurement,device_id,event,loopcount,timecost
2023-09-22T12:15:43Z,sdgp,vm57,endjob,,
2023-09-22T12:28:55Z,sdgp,vm57,startjob,,
2023-09-22T12:32:22Z,sdgp,vm57,endjob,,
2023-09-22T12:15:01Z,sdgp,vm57,,100000,108
2023-09-22T12:31:31Z,sdgp,vm57,,100000,101
2023-09-22T12:21:51Z,sdgp,vm58,startjob,,
2023-09-22T12:25:49Z,sdgp,vm58,endjob,,
2023-09-22T12:24:57Z,sdgp,vm58,,100000,113
2023-09-22T12:12:02Z,sdgp,vm59,startjob,,
2023-09-22T12:14:59Z,sdgp,vm59,endjob,,
2023-09-22T12:18:30Z,sdgp,vm59,startjob,,
2023-09-22T12:22:15Z,sdgp,vm59,endjob,,
2023-09-22T12:28:59Z,sdgp,vm59,startjob,,
2023-09-22T12:32:05Z,sdgp,vm59,endjob,,
2023-09-22T12:14:31Z,sdgp,vm59,,100000,87
2023-09-22T12:21:06Z,sdgp,vm59,,100000,97
2023-09-22T12:31:20Z,sdgp,vm59,,100000,92
2023-09-22T12:22:07Z,sdgp,vm6,startjob,,
2023-09-22T12:25:45Z,sdgp,vm6,endjob,,
2023-09-22T12:24:57Z,sdgp,vm6,,100000,100
2023-09-22T12:09:50Z,sdgp,vm60,startjob,,
2023-09-22T12:12:50Z,sdgp,vm60,endjob,,
2023-09-22T12:14:44Z,sdgp,vm60,startjob,,
2023-09-22T12:16:25Z,sdgp,vm60,endjob,,
2023-09-22T12:26:33Z,sdgp,vm60,startjob,,
2023-09-22T12:30:09Z,sdgp,vm60,endjob,,
2023-09-22T12:11:31Z,sdgp,vm60,,100000,76
2023-09-22T12:16:03Z,sdgp,vm60,,100000,45
2023-09-22T12:29:09Z,sdgp,vm60,,100000,104
2023-09-22T12:30:27Z,sdgp,vm61,startjob,,
2023-09-22T12:33:41Z,sdgp,vm61,endjob,,
2023-09-22T12:32:54Z,sdgp,vm61,,100000,92
2023-09-22T12:21:41Z,sdgp,vm62,startjob,,
2023-09-22T12:25:31Z,sdgp,vm62,endjob,,
2023-09-22T12:30:07Z,sdgp,vm62,startjob,,
2023-09-22T12:33:27Z,sdgp,vm62,endjob,,
2023-09-22T12:24:37Z,sdgp,vm62,,100000,107
2023-09-22T12:32:37Z,sdgp,vm62,,100000,96
2023-09-22T12:09:51Z,sdgp,vm63,startjob,,
2023-09-22T12:12:58Z,sdgp,vm63,endjob,,
2023-09-22T12:22:46Z,sdgp,vm63,startjob,,
2023-09-22T12:26:06Z,sdgp,vm63,endjob,,
2023-09-22T12:11:43Z,sdgp,vm63,,100000,85
2023-09-22T12:25:18Z,sdgp,vm63,,100000,94
2023-09-22T12:22:56Z,sdgp,vm64,startjob,,
2023-09-22T12:27:35Z,sdgp,vm64,endjob,,
2023-09-22T12:26:25Z,sdgp,vm64,,100000,141
2023-09-22T12:15:04Z,sdgp,vm7,startjob,,
2023-09-22T12:17:57Z,sdgp,vm7,endjob,,
2023-09-22T12:22:28Z,sdgp,vm7,startjob,,
2023-09-22T12:25:52Z,sdgp,vm7,endjob,,
2023-09-22T12:17:10Z,sdgp,vm7,,100000,79
2023-09-22T12:25:03Z,sdgp,vm7,,100000,97
2023-09-22T12:32:41Z,sdgp,vm8,startjob,,
2023-09-22T12:26:03Z,sdgp,vm9,startjob,,
2023-09-22T12:29:58Z,sdgp,vm9,endjob,,
2023-09-22T12:34:58Z,sdgp,vm9,startjob,,
2023-09-22T12:29:10Z,sdgp,vm9,,100000,129
