#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:24:08Z,sdgp,bmc,43.5,41.5,43,43,6233,6279,6262,6255,40,35.5,35.5,5368,29,166,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:24:31Z,sdgp,bmc,43.5,41.5,43,43,6230,6281,6264,6255,39.5,35.5,35.5,5368,29,167,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:24:54Z,sdgp,bmc,43.5,41.5,43,43,6232,6282,6264,6254,39.5,35.5,35.5,5368,29,167,229.25,4528,26,175,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:25:17Z,sdgp,bmc,43.5,41.5,43,43,6233,6280,6264,6253,39.5,35.5,35.5,5336,29,167,229.5,4528,26,176,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:25:41Z,sdgp,bmc,43.5,41.5,43,43,6229,6281,6270,6258,40,35.5,35.5,5368,29,167,229.25,4528,26,175,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:26:03Z,sdgp,bmc,43.5,41.5,43,43,6233,6284,6268,6254,39.5,35.5,35.5,5368,29,167,229,4528,26,176,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:26:26Z,sdgp,bmc,43.5,41.5,43,43,6231,6282,6264,6254,39.5,35.5,35.5,5336,29,167,229,4560,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:27:16Z,sdgp,bmc,43.5,41.5,43,43,6395,6443,6481,6565,39.5,35.5,35.5,5368,29,168,229,4528,26,176,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:27:47Z,sdgp,bmc,43.5,41.5,43,43,6716,6765,6756,6748,39.5,35.5,35.5,5336,29,169,229.5,4560,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:28:10Z,sdgp,bmc,43,41.5,42.5,42.5,6718,6766,6756,6742,39.5,35,35.5,5336,29,168,229.5,4560,26,177,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:28:33Z,sdgp,bmc,43,41,42.5,42.5,6715,6766,6756,6746,39.5,35,35,5336,29,168,229.25,4528,26,176,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:28:56Z,sdgp,bmc,43,41,42.5,42.5,6717,6765,6753,6745,39.5,35,35,5336,29,168,229.25,4560,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:29:19Z,sdgp,bmc,43,41,42.5,42,6714,6765,6752,6744,39.5,35,35,5336,29,168,229.5,4528,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:30:07Z,sdgp,bmc,43,41,42.5,42.5,6718,6765,6752,6744,39.5,35,35,5336,29,168,229.5,4560,26,177,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:30:31Z,sdgp,bmc,42.5,41,42,42.5,6717,6765,6755,6745,39.5,35,35,5336,29,168,229.25,4528,26,177,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:30:54Z,sdgp,bmc,42.5,41,42,42.5,6718,6765,6752,6745,39.5,35,35,5336,29,168,229.25,4560,26,176,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:31:17Z,sdgp,bmc,42.5,41,42,42,6721,6766,6753,6745,39.5,35,35,5368,29,168,229,4528,26,176,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:31:40Z,sdgp,bmc,42.5,41,42,42.5,6719,6766,6752,6751,39.5,35,35,5336,29,167,229.5,4528,26,175,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:32:03Z,sdgp,bmc,42.5,41,42,42,6710,6765,6752,6747,39,35,35,5336,29,167,229.25,4560,26,175,229.25
